TERM,Category,2025,2026,Total,Entropy
visuomotor association learning,未分类,0,2,2,0.0
weekly sessions,未分类,1,1,2,1.0
weeks patients,临床,2,0,2,0.0
within-group analysis,未分类,0,2,2,0.0
within-subject block design,临床,1,1,2,1.0
year-old female patient,临床,2,0,2,0.0
young healthy participants,临床,2,0,2,0.0
0 mm,未分类,0,1,1,0.0
1 beta,未分类,0,1,1,0.0
1-3 using specific stimulation parameter,基础研究,0,1,1,0.0
1-arc circuit,未分类,0,1,1,0.0
1-glutathione peroxidase,未分类,0,1,1,0.0
1-gpx4 signaling pathway,基础研究,0,1,1,0.0
1-h training session,未分类,1,0,1,0.0
1-hour exposure,未分类,1,0,1,0.0
1-week period,未分类,1,0,1,0.0
1-week period median,未分类,1,0,1,0.0
10-min baseline recording,未分类,1,0,1,0.0
10-min recovery,未分类,1,0,1,0.0
100 mu,未分类,1,0,1,0.0
12-item short-form survey,未分类,1,0,1,0.0
12-month mortality,临床,1,0,1,0.0
14-item hamilton anxiety rating scale,临床,1,0,1,0.0
15-min stimulation,未分类,1,0,1,0.0
18-75 age range,未分类,1,0,1,0.0
2-back tasks,未分类,1,0,1,0.0
2-day sham-controlled crossover protocol,临床,1,0,1,0.0
2-h postprandial glucose,临床,0,1,1,0.0
2-point improvement,未分类,1,0,1,0.0
2-week intervention,临床,0,1,1,0.0
2-week washout period,未分类,1,0,1,0.0
20-60 min,未分类,1,0,1,0.0
20-minute break,未分类,1,0,1,0.0
24-hz sham stimulation,基础+临床交叉,1,0,1,0.0
25-min sessions,未分类,1,0,1,0.0
250 mu,未分类,1,0,1,0.0
28-day all-cause mortality,临床,1,0,1,0.0
3 phosphorylation,基础研究,0,1,1,0.0
3 smad4 involvement,未分类,0,1,1,0.0
3-minute diagnostic interview,临床,0,1,1,0.0
30-min periods,未分类,1,0,1,0.0
30-min resting electroencephalogram,未分类,1,0,1,0.0
30-minute session,未分类,0,1,1,0.0
30-minute stimulation,未分类,1,0,1,0.0
36-item short form survey,未分类,1,0,1,0.0
4-20 headache,临床,1,0,1,0.0
4-s trains,未分类,0,1,1,0.0
4-week follow-up,临床,0,1,1,0.0
4-week intervention period,临床,0,1,1,0.0
4-week interventions,临床,1,0,1,0.0
4-week period,未分类,1,0,1,0.0
4-week post-treatment follow-up,临床,1,0,1,0.0
4-week treatment course,临床,0,1,1,0.0
48-hour washout period,未分类,1,0,1,0.0
5-year history,未分类,1,0,1,0.0
500 mu,未分类,1,0,1,0.0
6-min walk test,未分类,0,1,1,0.0
6-minute-walking test,未分类,1,0,1,0.0
6-month follow-up,临床,1,0,1,0.0
6-week cycles,未分类,1,0,1,0.0
60-min stimulation sessions,未分类,1,0,1,0.0
70-170 hz,基础研究,1,0,1,0.0
7nachr agonist,未分类,0,1,1,0.0
7nachr axis,未分类,1,0,1,0.0
7nachr inhibitor,未分类,0,1,1,0.0
7nachr-dependent mechanism,基础研究,0,1,1,0.0
7nachr-mediated activation,未分类,0,1,1,0.0
7nachr-mediated anti-inflammatory pathway,基础研究,0,1,1,0.0
7nachr-mediated pro-myelination axis,未分类,0,1,1,0.0
8-week mbsr intervention,临床,1,0,1,0.0
8-week period,未分类,1,0,1,0.0
8-week treatment hcs,临床,0,1,1,0.0
8-week treatment period,临床,0,1,1,0.0
8-week treatment period change,临床,1,0,1,0.0
9-werte zeigten tendenzen,未分类,0,1,1,0.0
[c-11]ucb-j,未分类,1,0,1,0.0
[f-18]fdg,未分类,1,0,1,0.0
aav-shalk5 injection,未分类,0,1,1,0.0
abdominal discomfort,未分类,1,0,1,0.0
abdominal pain symptoms,临床,1,0,1,0.0
abnormal activation,未分类,1,0,1,0.0
abnormal auditory memory,未分类,0,1,1,0.0
abnormal brain microstates,未分类,0,1,1,0.0
abnormal emotion-cognitive function,未分类,0,1,1,0.0
abnormal phase-amplitude coupling,基础研究,1,0,1,0.0
abovementioned phenomena,未分类,1,0,1,0.0
absorption glycerophospholipid metabolism,未分类,1,0,1,0.0
accelerated ect protocol,临床,0,1,1,0.0
accelerated protocol,临床,0,1,1,0.0
accelerated tms protocol,临床,0,1,1,0.0
acceptability questionnaires,未分类,0,1,1,0.0
acceptable recruitment rate,临床,0,1,1,0.0
accident & emergency medicine,未分类,1,0,1,0.0
account hospital event,临床,1,0,1,0.0
account hospital mortality,临床,1,0,1,0.0
accuracy declines,未分类,1,0,1,0.0
acetic acid enema,未分类,0,1,1,0.0
acetyltransferase deletion,未分类,1,0,1,0.0
achieving satisfactory anesthesia,临床,1,0,1,0.0
acoustics,未分类,1,0,1,0.0
activating central brain regions,未分类,1,0,1,0.0
activating parasympathetic anti-inflammatory pathways,基础研究,1,0,1,0.0
activating specific glutamatergic neurons,基础研究,1,0,1,0.0
activation effects,未分类,1,0,1,0.0
active area,未分类,1,0,1,0.0
active movement type selection condition,临床,0,1,1,0.0
active protocol,临床,1,0,1,0.0
active session,未分类,1,0,1,0.0
active stimulation condition,临床,1,0,1,0.0
active visual oddball task,未分类,0,1,1,0.0
activity pattern,未分类,1,0,1,0.0
activity questionnaire,临床,1,0,1,0.0
actual clinical practice,未分类,1,0,1,0.0
actual impact,未分类,1,0,1,0.0
acute bilateral cervical vns,未分类,0,1,1,0.0
acute coronary syndrome,临床,0,1,1,0.0
acute exacerbation,未分类,1,0,1,0.0
acute headache episodes,临床,1,0,1,0.0
acute intervention bout,临床,0,1,1,0.0
acute ischaemic stroke,临床,1,0,1,0.0
acute measurements,未分类,1,0,1,0.0
acute mental stress-induced sympathetic arousal,基础研究,1,0,1,0.0
acute mental stressors,未分类,1,0,1,0.0
acute myocardial infarction,未分类,1,0,1,0.0
acute neurocognitive impairment,未分类,1,0,1,0.0
acute otitis media,未分类,0,1,1,0.0
acute phase post-reperfusion,未分类,0,1,1,0.0
acute post-exercise recovery,未分类,0,1,1,0.0
acute st-segment elevation,未分类,0,1,1,0.0
acute st-segment elevation myocardial infarction,未分类,0,1,1,0.0
acute stress condition,临床,1,0,1,0.0
acute stress paradigm,未分类,1,0,1,0.0
acute stress-induced cardiovascular arousal,未分类,1,0,1,0.0
acute stress-induced memory deficits,未分类,1,0,1,0.0
acute sympathetic stress response,基础研究,1,0,1,0.0
acute t1,未分类,1,0,1,0.0
ad libitum intake,未分类,0,1,1,0.0
adaptive action,未分类,0,1,1,0.0
adaptive design trial,未分类,1,0,1,0.0
adaptive inhibitory control,未分类,0,1,1,0.0
addiction risk,临床,0,1,1,0.0
addiction treatment,临床,1,0,1,0.0
adding floating ground cable traps,未分类,1,0,1,0.0
addition cmct,未分类,0,1,1,0.0
addition difference,未分类,1,0,1,0.0
addition evidence,未分类,1,0,1,0.0
addition outcome measure,临床,0,1,1,0.0
addition quality,未分类,1,0,1,0.0
additional comparative analysis,未分类,0,1,1,0.0
additional therapeutic option,临床,1,0,1,0.0
additional therapeutic tool,临床,0,1,1,0.0
additive mixed modeling,基础研究,1,0,1,0.0
addresses comorbidities,临床,1,0,1,0.0
addressing acute mental stress-induced arousal,未分类,1,0,1,0.0
addressing insomnia,临床,1,0,1,0.0
addressing wm challenge,未分类,1,0,1,0.0
adhd model,未分类,1,0,1,0.0
adhd model group,未分类,1,0,1,0.0
adhd model rats,基础研究,1,0,1,0.0
adhd model rats behavior,基础研究,1,0,1,0.0
adherence criterion,未分类,0,1,1,0.0
adhesive electrodes,基础研究,0,1,1,0.0
adhesive pads,未分类,0,1,1,0.0
adipose tissue browning,未分类,1,0,1,0.0
adjacent n-n intervals,未分类,1,0,1,0.0
adjacent normal intervals,未分类,1,0,1,0.0
adjunctive analgesic intervention,临床,1,0,1,0.0
adjunctive therapeutic intervention,临床,1,0,1,0.0
adjusted between-group difference,未分类,0,1,1,0.0
adjusted qor-40 score,临床,0,1,1,0.0
adjusting stimulation parameter,基础研究,1,0,1,0.0
adolescent insomnia patients,临床,1,0,1,0.0
adolescent participants,临床,1,0,1,0.0
adolescent patients,临床,1,0,1,0.0
adolescent sleep assessment questionnaire,临床,1,0,1,0.0
adolescent sleep hygiene habits scale,临床,1,0,1,0.0
adult anaesthesia,临床,1,0,1,0.0
adult male mice,基础+临床交叉,1,0,1,0.0
adult palliative care,临床,1,0,1,0.0
adult populations,临床,1,0,1,0.0
adult-onset disability,临床,1,0,1,0.0
advanced parkinsons disease,临床,1,0,1,0.0
advanced sensor technologies-including,未分类,0,1,1,0.0
advanced study,未分类,0,1,1,0.0
advancing treatment decisions,临床,1,0,1,0.0
adverse clinical outcomes,未分类,1,0,1,0.0
adverse consequence,未分类,1,0,1,0.0
adverse effect,临床,1,0,1,0.0
adverse events heart rate,未分类,1,0,1,0.0
adverse reaction,未分类,0,1,1,0.0
adverse reaction incidence,未分类,0,1,1,0.0
